第一部	الْجُزْءُ الْأَوَّل
哈姆丹王朝（伊拉克木苏尔、叙利亚阿勒颇和土耳其南部；930~1003）	الدَّوْلَةُ الْحَمَدَانِيَّةُ، الْإِمَارَةُ الْحَمَدَانِيَّةُ، دَوْلَةُ بَنِي حَمَدَان، الْحَمَدَانِيُّون (الْمُوصِل وحَلَب وجَنُوب تُرْكِيا؛ 317~393هـ)
浩罕汗国（乌兹别克族所建立的一个王朝；1710~1876）	خَانَاتُ خُوقِنْد (إِحْدَى خَانَاتُ وَسَطُ آسْيَا أَسَّسَهَا الْأُوزْبَك؛ 1121~1292هـ)
黑汗王朝，亦称：喀喇汗王朝（840~1212年间）	الدَّوْلَةُ الْقَرَاخَانِيَّةُ (225~608هـ)
黑羊王朝，卡拉.科雍鲁（伊斯兰什叶派在新疆地区，1375~1468年间）	دَوْلَةُ قِرَاقُويُونْلُو، دَوْلَةُ الْخِرافِ السُّودِ (دَوْلَةٌ إِسْلَامِيَّةٌ شِيعِيَّةٌ فِي شِينْجِيَانْغ؛ 776~872هـ)
红头王朝；参见：“阿夫沙尔王朝”	الدَّوْلَةُ الْأَفْشَارِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
侯赛因王朝（突尼斯；1705~1957年间）	الدَّوْلَةُ الْحُسَيْنِيَّةُ (في تُونُس؛ 1116~1376هـ)
后倭马亚王朝，安达卢斯倭马亚王朝（756~1031年间）	الْعَهْدُ الْأُمَوِيُّ الْأَنْدَلُسِيّ، الدَّوْلَةُ الْأُمَوِيَّةُ فِي الْأَنْدَلُس (138~422هـ)
后倭马亚王朝；西萨拉森帝国（西方专称；756~1031年间）	الدَّوْلَةُ الْأُمَوِيَّةُ فِي الْأَنْدَلُس ، دَوْلَةُ سَرَاكِينُوس الْغَرْبِيَّة "تَسْمِيَّةٌ غَرْبِيَّةٌ" (138~422هـ)
呼德王朝（统治安达卢斯的一个王朝，1039~1141年间）	بَنُو هُود، دَوْلَةُ بَنِي هُود (إحْدَى مَمَالِكُ الطَّوَائِفِ بِالْأَنْدَلُسِ؛ 430~535هـ)
花刺子模王朝（中亚；1077~1220年间）	مَمْلَكَةُ خُوَارَزْم (في وَسَطِ آسْيَا؛ 469~616هـ)
花剌子模汗国；参见：“希瓦汗国”	خَانِيَّةُ خُوَارَزْم (راجع مادة: خَانِيَّةُ خِيوَة)
花剌子模沙王朝（突厥穆斯林逊尼派的可汗；1077~1231年间）	الْخُوَارَزْمِيُّون، الْخُوَارَزمْشَاهَات، شَاهَاتُ خُوارَزْم (سُلَالَةٌ تُرْكِيَّةٌ مُسْلِمَةٌ سُنِّيّةٌ حَكَمتْ إِيرَانَ وَأَجْزَاءَ مِنْ أَوَاسِطِ آسْيَا بَيْنَ أَعْوَامِ 469~628هـ)
基尔瓦王朝（东非伊斯兰王朝之一；957~1513年间）	سُلَالَة كِيلْوَا، سَلْطَنَةُ كِلْوَه (دَوْلَةٌ قَامَتْ فِي شَرْقِ أَفْرِيقْيَا بِتَنْزَانْيَا، كَانَت تَتَّبِعُ الْحُكْمُ الْإِسْلَامِيّ؛ 335~919هـ)
基华汗国；参见：“希瓦汗国”	خَانِيّةُ خِيوَة  (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
吉亚尼德王朝；参见：“左农王朝”	الدَّوْلَةُ الزِّيَانِيَّةُ (راجع مادة: الزِّيَانِيُّون)
加纳王国，加纳帝国（在10世纪非洲中部改奉伊斯兰教的一个帝国）	امْبِرَاطُورِيَّةُ غَانَا (امْبِرَاطُورِيَّةٌ فِي وَسَطِ أَفْرِيقْيَا، تَحَوَّلَت إِلَى الْإِسْلَامِ فِي الْقَرْنِ الْعَاشِرِ الْمِيلَادِيّ)
加涅姆；博诺帝国（非洲尼日利亚等周边地区；1380~1893年间）	امْبِرَاطُورِيَّةُ كانم بورنو، مَمْلَكَةُ كانم برنو، الدَّوْلَةُ الْكَانْمِيَّةُ ‏(فِي ‏نَيْجِيرِيَا وَأَجْوَارِهَا؛ 782~1311هـ)
加兹尼王朝；参见：“伽色尼王朝”	الدَّوْلَةُ الْغَزْنَوِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
贾希利叶时代，蒙昧时期，贾黑利亚，蒙昧时代（对伊斯兰教之前时代的总称）	الْعَصْرُ الْجَاهِلِيُّ، الْجَاهِلِيَّةُ، الْجَاهِلِيَّةُ الْأُولَى (اسْمٌ عَامٌّ لِعَصْرِ مَا قَبْلَ الْإِسْلَام)
金帐汗国（1240~1502年间）	القَبِيلَةُ الذَّهَبِيَّةُ، مَغُولُ الْقَبْجَاق، مَغُولُ الشَّمَال (637~907هـ)
喀喇汗王朝；参见：“黑汗国”	الدَّوْلَةُ الْقَرَاخَانِيَّةُ ( رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
‎卡尔曼酋长国（土耳其西南部；1250~1487年间）	إِمَارَةُ قَرَمَان (فِي جَنُوبِ غَرْبِ تُرْكِيا؛ 647~891هـ)
卡拉.科雍鲁；参见：“黑羊王朝”	دَوْلَةُ قراقويونلو (راجع مادة:  دَوْلَةُ الْخِرافِ السُّود )
卡涅姆一博尔努王国；据：“加涅姆-博尔努王国”	الدَّوْلَةُ الْكَانْمِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
卡扎尔王朝（伊朗，1785~1925年间）	الدَّوْلَةُ الْقَاجَارِيَّةُ (في إِيرَان؛ 1199~1343هـ)
恺加王朝；参见：“卡扎尔王朝”	الدَّوْلَةُ الْقَاجَارِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
科尔多瓦哈里发国（安达卢斯后欧麦业王朝公国之一；1031~1091年间）	إِمَارَةُ قُرْطُبَةُ، طَائِفَةُ قُرْطُبَةُ (إِحْدَى إِمَارَاتُ الطَّوَائِفِ فِي الْأَنْدَلُسِ بَعْدَ زَوَالِ الْحُكْمِ الْأُمَوِيِّ عَنْهَا؛ 422~483هـ)
克什米尔素丹（1346~1589年间）	السَّلْطَنَةُ الْكَشْمِيرِيَّةُ (746~997هـ)
库特布王朝，又称：库特布沙希王朝（印度；1206~1290年间）	دَوْلَةُ قُطْبِ شَاه، مَمَالِيكُ الْهِنْدِ (الهند؛ 602~688هـ)
廓尔王朝；参见：“古尔王朝”	الدَّوْلَةُ الْغُورِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
鲁姆的塞尔柱苏丹国；参见：“罗马塞尔柱王朝”	سَلَاجِقَةُ الرُّومِ، السَلَاجِقَةُ الرُّومُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
鲁穆国；西罗马帝国（395~1453年间）	دَوْلَةُ الرُّومِ، الِامْبِرَاطُورِيَّةُ الْبِيزَنْطِيَّةُ (395~1453م)
罗第王朝（印度王朝之一，1451~1526年间）	سُلَالَة لودي (إحْدَى ممالك الْهِنْد؛ 854~932هـ)
罗马塞尔主苏丹（土耳其东中两部；1077~1307）	سَلَاجِقَةُ الرُّومِ (شَرْقُ وَوَسَطُ تُرْكِيَا؛ 469~706هـ)
洛迪王朝（阿富汗王朝统治了印度北部；1451~1526年）	اللُّدْهِيُّونَ، آلُ لُودْهِي (سُلَالَةٌ حَكَمَتْ أَجْزَاءَ مِن شَمَالِ الْهِنْدِ، بَيْنَ أَعْوَامِ 854~932هـ)
绿衣大食（中式专称）；参见：“法蒂玛王朝”	دَوْلَةُ الْرَّايَةِ الْخَضْرَاء "تَسْمِيَةٌ صِينِيَّة"(راجع مادة: الدَّوْلَةُ الْفَاطِمِيَّةُ)
马打蓝苏丹国（印尼中部；1582~1755年间）	سَلْطَنَةُ مَاتَارام (فِي جَاوَةَ الْوُسْطَى بِإِنْدُونِيسيا؛ 995~ 1168هـ)
马赫迪国家（苏丹；1885~1899年间）	الدَّوْلَة الْمَهْدِيَّةُ (السُّودَان؛ 1303~1317)
马里帝国，曼丁戈帝国（中世纪西非伊斯兰帝国；1235~1660年间）	الِامْبِرَاطُورِيَّةُ الْمَالِيَّةُ (راجع مادة: مَمْلَكِة مَالِي)
马里王国，马里帝国，曼丁戈帝国（中世纪西非伊斯兰帝国；1235~1660年间）	مَمْلَكَةُ مَالِي، الِامْبِرَاطُورِيَّةُ الْمَالِيَّةُ (في غَرْبِ أفْرِيقْيَا، وعَاصِمَتُها "تمبكتو"؛ 632~ 1070هـ)
马林王朝（摩洛哥和安达卢斯南部；1244~1465年间）	الدَّوْلَةُ الْمَرِينِيَّةُ، بَنُو مَرِين، بَنُو عَبْدِ الْحَق (فِي الْمَغْرِب وَجَنُوبُ الْأَنْدَلُس؛ 641~869هـ)
马六甲王国，马六甲苏丹国（印尼苏丹国之一；1403~1641年间）	سلْطَنَةُ مَلَقَا (أَبْجَدِيَّةٌ جَاوِيَّة: "كسلطانن ملايو ملاك"؛ 805~1050هـ)
马木鲁克王朝，马穆鲁克王朝（埃及、沙母地区和沙特汉志地区；1250~1517年间）	الدَّوْلَةُ الْمَمْلُوكِيَّةُ، الْمَمَالِيكُ (فِي مِصْرَ وَالشَّامِ وَالْحِجَازِ وَغَرْبِ الْمَمْلَكَةِ الْعَرَبِيَّةِ السُّعُودِيَّةِ؛ 647~922هـ)
马穆鲁克碉楼系，布尔吉王朝（1382~1517年间）	دَوْلَةُ الْمَمَالِيكِ الْبُرْجِيَّةِ، دَوْلَةُ الْمَمَالِيكِ الشَّرْكَس (783~922هـ)
马兹亚德王朝（伊拉克等地的一个小王朝；998~1150年）	بَنُو مَزِيد، إِمَارَةُ بَنِي مَزِيد، الْإِمَارَةُ الْمَزِيدِيَّةُ (فِي الْعِرَاق؛ 388~545هـ)
曼丁戈帝国，马里帝国，马里王国（中世纪西非伊斯兰帝国；1235~1660）	امْبِرَاطُورِيَّةُ مَالِي، الِامْبِرَاطُورِيَّةُ الْمَالِيَّةُ (في غَرْبِ أفْرِيقْيَا، وعَاصِمَتُها تُمْبُكْتُو؛632~1070هـ)
孟加拉苏丹（1363~1576年间）	سَلْطَنَةُ الْبِنْغَال (764~983هـ)
米尔达斯王朝（叙利亚和黎巴嫩；1024~1079年间）	الدَّوْلَةُ الْمِرْدَاسِيَّةُ، الْمِرْدَاسِيُّونَ، بَنُو مِرْدَاس (فِي سُورِيَّا وَلُبْنَانَ؛ 414~471هـ)
莫卧儿帝国（印度；1526~1857年间）	سلْطَنَةُ مَغُولِ الْهِنْدِ (932~1273هـ)
莫扎法尔家族；参见：“穆扎法尔王朝”	الدَّوْلَةُ الْمُظَفَّرِيَّةُ، آلُ مُظَفَّر (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
木拉皮国[宋]；参见：“穆拉比特王朝”	الدَّوْلَةُ الْمُرَابِطِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
穆拉比特王朝，木拉皮国[宋]，阿尔摩拉维德王朝（摩洛哥和安达卢斯南部；1056~1147年间）	الدَّوْلَةُ الْمُرَابِطِيَّةُ، الْمُرَابِطُونَ (فِي الْمَغْرِبِ وَجَنُوبِ الْأَنْدَلُس؛ 447~541هـ)
穆瓦希德王朝，阿尔摩哈德王朝（摩洛哥和安达卢斯南部；1121~1269年间）	الدَّوْلَةُ الْمُوَحِّدِيَّةُ، الْمُوَحِّدُونَ، حَرَكَةُ الْمُوَحِّدِينَ، دَوْلَةُ الْمُوَحِّدِينَ  (فِي الْمَغْرِبِ وجَنُوبِ الْأَنْدَلُسِ "أَسْبَانْيَا"؛ 514~667هـ)
穆瓦希德运动；参见：“穆瓦希德王朝”	الْمُوَحِّدُونَ(راجع مادة: الدَّوْلَةُ الْمُوَحِّدِيَّةُ)
穆扎法尔王朝，莫扎法尔家族（一个阿拉伯伊斯兰王朝统治了现在伊朗西部‘阿赫瓦兹地区’，1314~1393年间）	آلُ مُظَفَّر (سُلَالَةٌ عَرَبِيَّةٌ حَكَمَتْ أَجْزَاءَ مِنْ غَرْبِ إِيرَانَ "مَنْطِقَةَ الْأَهْوَازِ"، 714~795هـ)
奈斯尔王朝（安达卢斯塔瓦易夫诸王朝之一；1232~1492年间）	الدَّوْلَةُ النَّصْرِيَّةُ، بَنُو نَصْر، بَنُو الْأَحْمَر (إحْدَى مَمَالِكُ الطَّوَائِفِ؛ 629~879هـ)
南萨拉森帝国西（西方专称）；参见：“法蒂玛王朝”	دَوْلَة سَرَاكِينوس الْجَنُوبِيّة"تَسْمِيَّةٌ غَرْبِيَّةٌ"(راجع مادة: الدَّوْلَةُ الْفَاطِمِيَّةُ)
尼西亚齐国（1204~1261）	امْبِرَاطُورِيَّةُ نيقيا (600~659هـ)
努尔王朝；参见：“赞吉王朝”	الدَّوْلَةُ النُّورِيَّةُ (راجع مادة: الدَّوْلَةُ الزِّنْكِيَّةُ)
欧盖伊勒王朝；参见：“乌卡勒王朝”	الدَّوْلَةُ الْعُقَيْلِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
齐理王朝（突尼斯和阿尔及利亚北部；973~1146年）	الزِّيرِيُّون، السُّلَالَةُ الزِّيرِيَّةُ (تُونُسَ وشَمَالَ الْجَزَائِر؛ 362~540هـ)
日惹苏丹国（印尼伊斯兰苏丹国之一；1755年至今）	سَلْطَنَةُ يوجياكرتا (إحْدَى سَلْطَنَاتُ إِنْدُونِيسْيَا " 1755~ إلى الآن)
萨阿德王朝（摩洛哥王朝，1554~1659年简）	الدَّوْلَةُ السَّعْدِيَّةُ، السَّعْدِيُّونَ، سُلَالَةُ السَّعْدِيِّينَ (فِي الْمَغْرِبِ الْعَرَبِيّ؛ 961~1069هـ)
萨多查依王朝；参见：“杜兰尼王国”	آلُ دَرانِي (راجع مادة: الدَّوْلَةُ الدَّرَانِيَّةُ)
萨法尔王朝（伊朗、巴基斯坦和阿富汗；861~1003年间）	الدَّوْلَةُ الصُّفَّارِيَّةُ، الصُّفَّارِيُّونَ (في إِيرَانَ، وَبَاكِسْتَانَ، وَأَفْغَانِسْتَان؛ 246~393هـ)
萨法维王朝，沙法维王朝，萨菲王朝，萨法维亚王朝（统治了伊朗，1501~1736年间）	الدَّوْلَةُ الصَّفَوِيَّةُ " الشِّيعِية" (دَوْلَةٌ إِسْلَامِيَّةٌ شِيعِيَّةٌ، حَكَمَتْ شَرْقَ أَفْغَانِسْتَانَ وَإِيرَانَ وشَرْقَ الْعِرَاقِ، وَأَجَزَاءَ كَبِيرَةً مِنْ تُرْكِيا؛ قَامَت بَيْن سنوات؛ 907~1185هـ)
萨非王朝；参见：“萨法维亚王朝”	الدَّوْلَةُ الصَّفَوِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
萨曼王朝（伊朗、阿富汗、巴基斯坦等中亚地区；819~999年间）	الدَّوْلَةُ السَّامَانِيَّةُ (فِي إِيرَان، وأَفْغَانِسْتَان، وَبَاكِسْتَان وغَيْرِهَا مِن الْمَنَاطِق فِي وَسَطِ آسيا؛ 203~390هـ)
塞尔柱帝国；参见：“塞尔柱王朝”	الِامْبِرَاطُورِيَّةُ السَّلْجُوقِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
塞尔柱罗马苏丹国；参见：“罗马塞尔柱苏丹”	سَلْطَنَةُ الرُّومِ السَّلَاجِقَةِ (راجع مادة: سَلَاجِقَةُ الرُّومِ)
塞尔柱王朝（包括：罗马和波斯两个王朝；1037~1194）	الدَّوْلَةُ السَّلْجُوقِيَّةُ، دَوْلَةُ السَّلَاجِقَةِ (تَشْمَلُ: سَلَاجِقَةُ الرُّومِ، وَ سَلَاجِقَةُ الْفُرْسِ؛ 428~590هـ)
赛努西王朝（利比亚和苏丹；1837~1969）	الْإِمَارَةُ السِّنُوسِيَّةُ، السِّنُوسِيُّونَ (لِيبْيَا والسُّودَان؛ 1252~1388هـ)
